हेपेटाइटिस- बची तपासणी.	hepatitis- bachi tapasni.
महाराज नेताजींवर चिडले आणि त्यांनी नेताजीला पत्राद्वारे "समयास कैसा पावला नाहीस" असे म्हणून बडतर्फ केले.	maharaj netajinvar chidale tyanni netajila patradware "samyas kaisa pavala nahis " ase mhanun badtarfe kele.
१९९७ साली विस्डेनने सचिनला त्या वर्षीचा सर्वोत्तम वार्षिक क्रिकेटपटू घोषित केले.	1997 Sali visdenane sachinala tya varshacha sarvottam varshik criketpatu ghoshit kele.
याच कारणामुळे, त्याला मराठी सैन्य जवळून बघता आले.	Yach karanamuly, tyala marathi sainya javlun baghata aale.
संगीत नाटक अकादमी ॲवॉर्ड	sangit natak akadami awards
१९७५ ते मृत्यूपर्यंत जॅकलिन केनेडीने पुस्तके संपादन करण्याचे काम केले.	1975 te mrutyuparyant jacklin kenedine pustake sampadan karnyache kam kele.
कोलाम	kolam
स्वतंत्र मजूर पक्ष हा अस्पृश्यांचा पहिला राजकीय पक्ष होता.	swatantra manjur paksh ha asprushyanna pahila rajkiy paksh hota.
आता हा दिवस गीताजयंती म्हणून, भारतात सर्वत्र साजरा केला जातो.	Aata ha divas gitanjayanti mhanun, bhartat sarvatra sajara kela jato.
सूर्यापासून पृथ्वीवरील संपूर्ण जगाचे सजींवाना वनस्पतीला उर्जा आणि जीवन मिळते	suryapasoon pruthwivaril sampurn jagache sanjivana vanspatila urja ani jivan milate.
'आकाशमित्र'तर्फे एमकेसीएलच्या era.mkcl.org/oer वेबसाइटवर खगोलशास्त्राची संकल्पना स्पष्ट करणारा १२ भागांचा इंटरॅक्टिव्ह बेसिक कोर्स मोफत उपलब्ध करून देण्यात आला आहे.	akashmitra' tarfe MKCLchya era.mkcl.org/oer vebsitevar khagolshatrachi sankalpana spasht karnara 12 bhagancha interactive basic course mophat upalabdh karun denyat aala ahe.
त्यांचे वडील मिरजेच्या राजेसाहेबांकडे संगीतकार म्हणून नोकरीस होते.	tyanche vadil mirajechya rajasahebankade sangitkar mhanun naukaris hote.
या प्रकाशाची तीव्रता मायक्रोवेव्ह तरंगलांबींमध्ये सर्वात जास्त आहे.	Ya prakashachi tivrata microwave taranglambimadhye sarvat jast ahe.
हा ध्वज ११ मीटर लांबीचा असून केसरी रंगाचा असतो.	Ha dwaj 11 meter lambicha asoon keshari rangacha asato.
खसारा, लेखानगर, कामठी, ड्रॅगन पॅलेस, कन्हान नदी, कन्हान रेल्वे स्थानक ही यातील स्थानकांची काही नावे आहेत.	khasara, lekhanagar, kamathi, dragan palece, kanhan nadi, kanhan railway sthanak hi yatil sthankanchi kahi nave ahet.
झाशी संस्थानच्या महाराणी लक्ष्मीबाई साहेब ह्यांचे चरित्र : लेखक दत्तात्रेय बळवंत पारसनीस	zashi sansthanchya maharani laxmibai saheb hyanche charitra : lekhak dattatrey balvant parasnis
ह्यामध्ये जर्मनीमधील १८ व्यावसायिक फुटबॉल क्लब भाग घेतात.	hyamadhye jarmanimadhil 18 vyavsayik photball club bhag ghetat.
विभू व व्यापक आहेत.	vibhu va vyapak ahet.
सचिनला आत्तापर्यंत कसोटी सामन्यांमध्ये ११ वेळा सामनावीराचा बहुमान मिळाला आहे व २ वेळा तो (बॉर्डर-गावसकर चषकामध्ये ऑस्ट्रेलिया) मालिकावीर राहिला आहे.	sachinla aattaparyant kasoti samnyamadhye 11 vela samanaviracha bahuma milala ahe va 2 vela to (border-gavskar chashkamadhye austriliya) malikaveer rahila ahe.
दरवर्षी कोणत्या ना कोणत्या गावची लक्ष्मी आहेच.	darvarshi kontya na kontya gavachi lakxmi ahech.
१९८७मध्ये सरदार सरोवरात बुडत असलेल्या दोन मुलींना स्वतःच्या जिवाची पर्वा न करता वाचवण्याचे धाडस आनंदीबेन यांनी दाखवले होते.	1987madhye sardar sarovarat budat asalelya don mulinna swatachya jivachi parva na karata vachvanyache dhadas anandiben yanni dakhavale hote.
मुंबई साहित्य संघात त्यांची स्वतःची रेकॉर्डिंग रूम होती.	mumbai sahitya sanghat tyanchi swatachi recording room hoti.
वा. गो. कुलकर्णी कलादालन	va. Go. Kulkarni kaladalan
टाऊन हॉल ही कोयंबटूर शहरातील 1882 मध्ये रानी व्हिक्टोरियाच्या सन्मानार्थ, दगड आणि चुना वापरून बांधलेली एक वारसा इमारत आहे.	town hall hi koimbatoor shaharatil 1882 madhye rani victoriyachya sammanarth, dagad ani chuna vaparun bandhleli ek varasa emarat ahe.
इमाम हुसेन यांच्याशी तत्कालीन शासनाने जो क्रुर व्यवहार केला त्याचे या दिवशी स्मरण करुन सर्व शिया शोक मनवतात.	Emam husen yanchyashi tatkalin shashnane jo krur vyavhar kela tyache ya divashi smaran karun sarv shiya shok manavtat.
चौफेर	choufer
संमेलनाध्यक्ष अच्युतानंद सरस्वती स्वामी हे होते.	sammelanadhaksh achhutanand swaraswati swami he hote.
'गड किल्ले गाती जयगाथा' हे निनाद बेडेकर यांनी लिहिलेले मराठीतील एक पुस्तक आहे.	gad kille gati jaygatha' he ninad bedekar yanni lihilele marathitil ek pustak ahe.
कायदेमंडळ, कार्यकारी मंडळ व न्यायमंडळ ही शासन व्यवस्थेची तिन्ही क्षेत्रे स्वतंत्र्य हवीत त्यायोगे समाजामध्ये समता, स्वातंत्र्य, जीवित व वित्ताची हमी निर्माण होईल हा 'सत्ता विभाजनाचा सिद्धांत' त्यांनी मांडला.	kayademandal, karykari mandal va nyaymandal hi shasan vyavsthechi tinhi kshetre swatantrya havit tyayoge samajamadhye samata, swatatrya, jivit va vittachi hami nirman hoeil ha 'satta vibhajanacha siddhant' tyanni manadla.
अल बदर/बदल	ala badar/badal
त्याचबरोबर बोलीवापरामध्ये रूढी महत्वाची ठरते.	tyachbarobar bolivaparamadhye rudi mahatwachi tharate.
ही पोलिस कारवाई म्हणजे लष्करी कारवाई होती.	Hi police karvae mhanaje lashkari karvai hoti.
ऋगवेदातील कथेनुसार यांनी देवांच्या गायी पळवून पणींच्या देशात नेल्या होत्या.	hrugvedatil kathenusar yanni devanchya gayi palvun paninchya deshat nelya hotya.
ब्रिटिश संसदेने १९३५ साली भारतासाठी पारित केलेल्या कायद्याने भारतीयांना विधीमंडळावर मोठ्या प्रमाणात प्रतिनिधित्व देण्याचे मान्य केले.	british sansdene 1935 Sali bharatasathi parit kelelya kaydyane bhartiyanna vidhimandalavar mothya pramanat pratinidhitwa denyache manya kele.
नवविकास मंडळ शिक्षण संस्था	navvikas mandal shikshan sanstha
झी टीवी युएसए	Z TV USA
तान्या जेम्स ही एक रतिअभिनेत्री आहे.	tanya jems hi ek ratiabhinetri ahe.
एस्तुदियांतेस दि मेरिदा, वेनेझुएला	Astudiyantesh di merida, venezuala
२००१ सालापासून सुरू असलेली ही स्पर्धा दर २ वर्षांनी आंतरराष्ट्रीय हॉकी महामंडळाद्वारे आयोजीत केली जात असे.	2001 salapasoon suru asleli hi spardha dar 2 varshanni aantarrashtriya hocky mahamandaladware aayojit keli jat ase.
द बाँबे शेड्युल्ड कास्ट्स इम्प्रुव्हमेंट ट्रस्ट मुंबई ही डॉ.	The bombay scheduled caste improvement trust mumbai hi dr.
हॉटेल एक्झिक्युटिव्ह, व्यवसाय क्लब,आणि स्टँडर्ड खोलीत विनंती नुसार DVD प्लेअर दिला जातो.	Hotel executive, vyavsay club, ani standared kholit vinnati nusar DVD player dila jato.
आपल्या जहागिरीच्या प्रदेशातील लांडग्या-कोल्ह्यांचा बंदोबस्त करण्यासाठी या लांडग्या-कोल्ह्यांना मारून त्यांचे शेपूट आणून देणार्‍यास शिवरायांनी इनाम जाहीर केले, तेव्हा बहिर्जी नाईक यांनीे सर्वात जास्त शेपट्या आणून दिल्या आणि त्यांना शिवरायांनी हेरले असे काही इतिहासकार मानतात तर शिमग्याचा खेळ पाहात असताना वेगवेगळी सोंगे वठवणारे बहिर्जी नाईक शिवरायांच्या नजरेत भरले असे काही इतिहासकार मानतात.	apalya jahangirachya pradeshatil landgya-kolhyachya bandobast karnyasathi ya landgya-kolhyanna marun tyanche sheput anoon denaryas shivrayanni enam jahir kele, tevha bahirji naik yanni sarvat jast shepatya anoon dilya ani tyanna shivrayanni herale ase kahi etihaskar mantat tar shimgyacha khel pahat asatana vegvegali songe vathvanare bahirji naik shivarayanchya najaret bharale ase kahi etihaskar mantat.
फ्रांसिस गिल्टनरने आपली मालमत्ता परत मिळविण्यासाठी स्वतःचा मुलगा डेव्हिड व इतर काही लोकांना क्रॉसव्हाइटच्या मागावर पाठविले.	fransis giltanrane apali malmatta parat milanyasathi swat:cha mulaga devid va etar kahi lokanna crosswhitechya magavar pathvile.
आचार्य राजारामशास्त्री भागवत हे दुर्गा भागवत यांच्या आजीचे बंधू होते.	Acharya rajaramshastri bhagavat he durga bhagvat yanchya aajiche bandhu hote.
दुसर्‍याच दिवशी तसे झाले.	dusryach diwashi tase zale.
स.१९८३ दरम्यान बारा टप्प्यांत त्यांनी हे संशोधन केले.	s.1983 darmyan bara tappyat tyanni he sanshodhan kele.
मामलेदार महाराजांनी तत्कालीन दुष्काळात तथाकथित दैवी आदेशाने मोलाचे कार्य केले, त्यामुळे सटाणामधील जनतेने त्यांना देवत्व बहाल केले .	mamledar maharajanni tatkalin dushkalat tathakathit daivi aadeshane molache kary kele, tyamule Satanamadhil janatene tyanna devatv bahal kele.
संगीत मृच्छकटिक	sangit mruchakatik
सलैया	salaiya
मळलेल्या मिश्रणाचे लिम्बापेक्षा किंचित मोठे गोळे करावे आणि पोळपाटावर प्लास्टिक टाकून त्यावर थोडे तूप/तेल लावून थालीपीठ थापावे .	mallelya mishranache limbapeksha kinchit mothe gole karave ani polpatavar plastic takun tyavar thode toop/tel lavoon thalipith thapave.
मेगॅलडॉन च्या वर्गीकरणासंबंधी काही वाद झाला होता: काही संशोधकांनी असा दावा केला की तो लॅमनीडे कुटुंबातील होता आणि ग्रेट व्हाईट शार्कशी संबंधित होता (कर्चारोन कार्करिया), तर इतरांनी असा दावा केला होता की ते ओटोडोन्डाइडेस कुटुंबातील होता.	megaladon chya vargikarnasambandhi kahi vad zala hota: kahi sanshodhkanni asa dava kela ki to lamnide kutumbatil hota ani great white sharshi sambandhit hota (karcharon kankriya), tar etaranni asa dawa kela hota ki te autodondaedes kutumbatil hota.
हा बर्नली एफ.	ha barnali F.
गोविंद महादेव जोशी	Govind mahadev joshi
तेव्हा एक सावळे झाड वर आले, तेव्हा विठोबाच्या हातांत मंजिर्‍या होत्या.	tevha ek savale zad var ale, tevha vithobachya hatat manjirya hotya.
मात्र आधुनिक कादंबरी भारतात पाश्चिमात्य साहित्यावरून आली.	Matra adhunik kadambari bhartat paschimatya sahityavarun aali.
परदेशातल्या मराठी रसिकांसमोर नव्या दमाची मराठी नाटके आणण्याचा आपला प्रयत्न आहे.	pardeshatalya marathi rashikansamor navya damachi marathi natake aannyacha apala prayatna ahe.
संयुक्त राष्ट्रांच्या व्यापार आणि विकास विभागात काम करीत असताना, भारताचे तत्कालीन विदेश व्यापारमंत्री ललित नारायण मिश्रा यांनी मनमोहनसिंगांची आपल्या खात्यात सचिव म्हणून नियुक्ती केली.	sayukt rashtranchya vyapar ani vikas vibhagat kam karit asatana, bhartache tatkalin videsh vyaparmantri lalit narayan mishra yanni manmohansinganchi apalya khatyat sachiv mhanun niyukti keli.
क्रांतीवीर लहुजी वस्ताद व वासुदेव बळवंत फडके (चरित्रे -सहलेखिका मनाली गाडगीळ)	Krantiveer lahuji vastad va vasudev balavant phadake (charitre - sahalekhika manali gadgil)
उच्च समुद्रसपाटीपासूनची उंची आणि अतिशीत शती, logistical आणि कल्याण अडचणी निर्माण होऊ; गेल्या समान संघर्ष (जसे की पहिले महायुद्ध इटालियन मोहीम म्हणून) असह्य अटी शत्रू क्रिया जास्त मृतांची संख्या झाले आहे.	uchha samudrasapatipasunachi unchi ani atishit shati, logistical ani kalyan adachani nirman houoo; gelya saman sangharsh (jase ki pahile mahayudhh italian mohim mhanu) asahya ati shatru kriya jast mrutanchi sankhya zale ahe.
त्या काळातील या माध्यमाच्या प्रभावामुळे त्यांच्या आवाजाची जादू भारतभर सर्वदूर पसरली होती.	Tya kalatil ya madhyamachya prabhavamule tyanchya avajachi jadu bharatbhar sarvdoor pasarali hoti.
‘नालंदा नृत्य संशोधन केंद्रा’स थेट भारत सरकारच्या विज्ञान व तंत्रज्ञान खात्याकडून वैज्ञानिक व औद्यागिक संशोधन केंद्र म्हणून ओळख मिळाली आहे.	Nalanda nrutya sanshodhan kendra's thet bharat sarkarchya vidhnyan va tanradnyan khatyakadun vaidnyanik va audyogik sanshodhan kendra mhanun aolakh milali ahe.
त्यांनी लिहिलेल्या गझलांची पाचांहून अधिक पुस्तके प्रकाशित झाली आहेत.	tyanni lihilelya gazalanchi pachahoon adhik pustake prakashit zali ahet.
संगीतरत्‍नाकर या संस्कृत ग्रंथाचे, त्यावरील ’कलानिधि’ टीकेसह मराठी भाषांतर, गणेश हरी तार्लेकर (जन्म : १९१४) यांनी केले, आणि ते महाराष्ट्र राज्य साहित्य संस्कृती मंडळाने इ.	sangitratnakar ya sanskrut granthache, tyavaril 'kalanidhi' tikesah marathi bhashantar, ganesh hari tarlekar (janm : 1914) yanni kele, ani te maharashtra rajya sahitya sanskruti mandalane e.
मराठी रसिकांचा लाडका अभिनेता स्वप्नील जोशी या सिनेमाच्या माध्यमातून पहिल्यांदाच सुप्रसिद्ध अभिनेत्री अमृता खानविलकर हिच्यासोबत रुपेरी पडद्यावर दिसणार असून त्यांची ही धमाल जोडी रसिकांचे धमाकेदार मनोरंजन करण्यासाठी येत आहेत.	Marathi rashikancha ladaka abhineta swapanil joshi ya sinemachya madhyamatoon pahilyandach suprasiddh abhinetri amruta khanvilkar hichyasobat ruperi paddyavar disnar asun tyanchi hi dhamal jodi rashikanche dhamakedar manoranjan karnyasathi yet ahet.
त्यांत निवासी सोयीसुविधांमध्येही पुनर्वापर केलेल्या वस्तूंचा अंतर्भाव आहे.	tyat nivashi soyisuvidhanmadhyehi punarvapar kelelya vastuncha antarbhav ahe.
सम्राट विल्हेल्म दुसरा ह्याने ह्याच काळात जर्मन साम्राज्यप्रमुख हे पद सोडले.	samrat vilhem dusara hyane hyach kalat jarman samrajyapramukha he pad sodale.
यानंतर त्याच्या दु आमी, मदर सॅवेज, मादमोझेल फिफि, इत्यादी लघुकथा प्रकाशित झाल्या.	Yananatar tyanchya du ami, mother savej, madmozel phifi, etyadi laghukatha prakashit zalya.
बाबासाहेब आंबेडकरांना वाटत होते.	babasaheb ambedkaranna vatat hote.
श्वासाचा वेग मंदावल्यामुळे ‘न्युमोनिया’ होण्याचा धोका असतो.	swasacha veg mandavalyamuly 'pneumonia' honyacha dhoka asato.
भोसलेवाडी ह्या गावात जमिनीचा वापर खालीलप्रमाणे होतो (हेक्टरमध्ये क्षेत्रफळ):	bhosalevadi hya gavat jaminicha vapar khalilpramane hoto (hectormadhye shetraphal):
या साहित्य संमेलनाचे उद्‌घाटन तत्कालीन केंदीय ऊर्जामंत्री सुशीलकुमार शिंदे यांच्या हस्ते झाले.	ya sahitya sammelanache udghattan tatkalin kendriy urjamantri sushilkumar shinde yanchya haste zale.
अनेक सामाजिक व शैक्षणिक संस्थांची त्यांचा संबंध असून जागतिक कीर्तीच्या अग्रणी वित्तीय संस्थेत प्रबंधक या पदावर ते कार्यरत आहेत.	anek samajeek va saikshanik sansthanchi tyancha sambandh asun jagteek kirtichya agrani vittiy sansthet prabhandak ya padavar te karyrat ahet.
लक्ष्मीबाईंचे मूळ नाव मनिकर्णिका होते.	laxmibaiche mule nav mankarnika hote.
साप चावल्यानंतर त्याचे विषभक्ष्यामध्ये सोडतो.	sap chavlyavarnantar tyache vishabhakhyamadhey sodato.
एकच प्याला हे राम गणेश गडकरी यांनी लिहिलेले मराठीतील नाटक आहे.	ekach pyala he ram ganesh gadkari yanni lihilele marathitil natat ahe.
तेथील तीन वर्षांचा अभ्यासक्रम पूर्ण झाल्यानंतर त्यांनी डेहराडूनच्या मिलिटरी इंजिनीअरिंग कॉलेजमधून अभियांत्रिकीची पदवी मिळवली.	tethil tin varshacha abhyaskram purn zyalanantar tyanni deharadunchya military enginearing collagemadhun abhiyatrikichi padavi milavali.
ल्यों	lyo
वृद्धां वृद्धादित्यमण्डलमध्यस्थां श्यामवर्णां श्यामम्बरानुलेपनस्रगाभरणामेकवक्त्रां शङ्खचक्रगदापद्माङ्क गरुडासनरूढां विष्णुदैवत्यां सामवेदमुदाहरन्तीं स्वर्लोकाधिष्ठात्रीं सरस्वतीं नाम देवतां ध्यायामि |	vrunda vrudhadityamadalmadyasanstha shyamvarna shyammamralepanstagabharanamekvantra shadyachakragadapadyadak garudasanrudhan vishnudaivatya samvedamudaharanti swarlokadhisthatri swaraswati nam devata dhyayami |
दिघवडी	dighvadi
मच्छिंद्र गोजमे	machindra gojame
हा पक्षी मध्यम आकाराच्या बदकाइतका असतो.	ha pakshi madyam akarachya badakaetaka asato.
सहवास	sahavas
डाव, चपळता , निर्णयक्षमता या खेळात महत्त्वाची असते.	dav, chapalata, nirnaykshamata ya khelat mahatwachi asate.
अमेरिकेत काही काळ काम केल्यानंतर ते भारतात परतले.	ameriket kahi kal kam kelyanantar te bhartat paratale.
कुलकर्ण्यांचा जन्म महाराष्ट्रातल्या सांगली जिल्ह्यातील मणेराजुरी येथे झाला.	kurkarnyancha janma maharashtratalya sangali jilhyatil manerajuri yethe zala.
हे काम हाताने करावे लागते.	He kam hatane karave lagate.
म्हणून नैसर्गिक खनिज तेलाला कच्चे तेल(क्रूड ऑइल) असेही म्हणतात.	mhanun naisargik khanij telala kachhe tel(crud oil) asehi mhantat.
प्रोजेस्टेरॉनमुळे गर्भाशयाचे आकुंचन होत नाही.	progesteronmule garbhashayache akunchan hot nahi.
मला अण्णा व्हायचंय	mala anna vhaychay
नाकामुळे आपल्याला वास घेता येऊ शकतो.	nakamule aapalyala vas gheta yeuoo shakato.
नारायण सामाजिक संदर्भ आणि त्याच्या वर्णांच्या रोजच्या आयुष्यावर प्रकाश टाकतात.	narayan samajik sandarbh ani tyanchya varnachya rojachya aayushyavar prakash Takatat.
गेल्या ४० वर्षात हाँगकाँगची सगळ्यात मोठी विमानकंपनी, कॅथे पॅसिफिक साठी ड्रॅगनएअर पहिली स्थानिक प्रतिस्पर्धी कंपनी होती; आणि तेव्हापासूनच कॅथे पॅसिफिकने, ड्रॅगनएअरचे फ्लाईट स्लॉटस ब्लॉक करण्यासाठी निकराचे प्रयत्न केले.	gelya 40 varshat hongkongchi saglyat mothi vimancompany, cathe pacific sathi draganair pahili sthanik pratispardhi company hoti; ani tevhapasunach cathe pacifickane, dragonairache flight slots block karnyasathi nikarache prayatna kele.
भाई माधवराव बागल पुरस्कार	bhai madhavrav bagal puraskar
ग्रेट एप्सच्या रुपात त्यांची सुरूवात सुमारे सत्तर लाख वर्षांपूर्वी झाली असावी, असा अंदाज त्या भागात सापडलेल्या सर्वात जुन्या मानवी अवशेषांवरून करण्यात आला आहे.	great aapschya rupat tyanchi suruvat sumare sattar lakh varshapurvi zali asavi, asa andas tya bhagat sapadalelya sarvat junya manavi avasheshanvaroon karnyat ala ahe.
बीबीसी न्यूजवर एप्रिल २४ च्या विशेष घटना (इंग्रजी मजकूर)	BBC newsvar april 24 chya vishesh ghatana (engraji majkur)
स्त्रीरोगतज्ज्ञ इरावती कर्णिक या काशीनाथांच्या पहिल्या पत्नी.	streerogtadnya Eravati karnik ya kashinathanchya pahilya patni.
शरभ हे यादवकालीन चिन्ह असल्याने ते महाराष्ट्रातही अनेक ऐतिहासिक इमारतींवर दिसते.	sharabh he yadavkalin chinha asalyane te maharashtratahi anek etihasik emarativar disate.
भिवनी हा भारताच्या हरियाणा राज्यातील जिल्हा आहे.	bhivani ha bharatachya hariyana rajyatil jilha ahe.
ते भारतीय राष्ट्रीय काँग्रेस पक्षाचे सदस्य असून राज्यसभेत आसामचे प्रतिनिधित्व करतात.	te bharatiya rashtriya congress pakshache sadashya asoon rajyasabhet asamache pratinidhitwa kartat.
हा दागिणा सोने व चांदी या धातूमध्ये तयार केला जातो.	ha danina sone va chandi ya dhatumadhye tayar kela jato.
कॅथे ड्रॅगन हि वन वर्ल्ड विमानसंघाची संलग्न सदस्य आहे.	cathe dragon hee one world vimansanghachi salagn sadasya ahe.
हे तरुण तेथे ‘अभिरूप न्यायालय’ सादर करणार होते आणि त्याविषयी त्यांच्यामध्ये चर्चा सुरू होती.	he tarun tethe 'abhirup nyayalay' sadar karnar hote ani tyavishayi tyanchyamadhe charcha suru hoti.
यामुळे जरी वाद निर्माण झाला असला तरी आता हे सिद्ध झाले आहे की गाउस खरे बोलत होता.	yamule jari vad nirman zala asala tari ata he sidha zale ahe ki gaous khare bolat hota.
रोलरबॉल पेन सुरुवातीला एक बॉलपेप पेनची सोय एकत्रित करण्यासाठी डिझाइन करण्यात आली होती.	rolarball pen suruvatila ek ballpep penchi soy ekatrit karnyasathi design karnyat aali hoti.
चुक्कलो चंद्रदु (तेलुगू)	chukallo chandradu (telugu)
सांबशिवम स्वामीनाथन यांच्या अध्यक्षतेखाली स्वामीनाथन आयोगाची स्थापन केला.	sambshivam swaminathan yanchya adhyakshtekhali swaminathan ayogachi sthapan kela.
सांगली येथे १ले बौद्ध साहित्य संस्कृती संमेलन ५-११-२०११ रोजी झाले. संमेलनाध्यक्ष राजा ढाले होते.	sangali yethe 1le boudha sahitya sanskruti sammelan 5-11-2011 roji zale. Sanmelanadhyakshya raja dhale hote.
अंटार्क्टिका खंडावर जगातील सर्वांत कमी तापमान आढळले आहे.	antartica khandavar jagatil sarvat kami tapman aadhalale ahe.
पांढऱ्या शेपटीचा गरुड	pandharya shepaticha garud
वेदांत मंत्र तंत्र यंत्र विज्ञान	vedant mantra tantra yantra vidnyan
२७ एप्रिल १९८० रोजी बाबा हरदेव सिंह यांना मिशनचे प्रमुख म्हणून घोषित करण्यात आले.	27 april 1980 roji baba hardev sinh yanna mishanche pramukh mhanun ghoshit karnyat aale.
सचिन तेंडुलकरच्या क्रिकेटमधील विक्रमांची यादी	sachin tendulkarachya criketmadhil vikramanchi yadi
हठयोगात आसने, बंध, षट्क्रिया, प्राणायाम यांचा अभ्यास असतो.	hathyogat aasane, bandh, shatkriya, pranayam yancha abhyas asato.
अखिल भारतीय प्राच्यविद्या परिषद (ऑल इंडिया ओरिएन्टल कॉन्फरन्स) ही भांडारकर संस्थेने दिलेली देणगी आहे.	akhil bhartiya prachavidya parishad (all india oriental conforance) hi bhandarkar sansthene dileli denagi ahe.
यातील एक पेंटिंग एक स्मारक आहे जी ताजमहालची प्रेरणा आहे असे म्हटले जाते.	yatil ek peting ek smarak ahe ji tajmahalachi prerana ahe ase mhatale jate.
टन क्षमतेचे हायड्रोजन बॉम्ब जमिनीवर पडले व एक समुद्रात.	tan kshamateche hydrogen bomb jaminivar padale va ek samudrat.
१६३९ मधील अधिक्रमणादरम्यान पॅरालॅक्स सिद्धांत वापरून सूर्य व पृथ्वीमधील अंतर मोजले गेले.	1639 madhil adhikramanadarmyan parolax sidhhant vaparun surya va pruthvimadhil antar mojale gele.
तिचं अवसानच गळालय.	tich avasanach galalay.
त्यांनी राष्ट्रीय व आंतरराष्ट्रीय स्तरावरील चर्चासत्रांत विविध विषयांवरील शोधनिबंधांचे वाचन केले आहे, तसेच सहभाग नोंदविला आहे.	tyanni rashtriya va antarrashtriya staravaril charchasatrat vividh vishayanvaril shodhanibandhache vachan kele ahe, tasech sahbhag nodvila ahe.
१९२२ : ब्रिटिश साम्राज्य बिनतारी (रेडिओ) टेलिग्राफने जोडण्याची योजना कार्यान्वित; इंग्लंडमधून कैरोशी संदेशवहन सुरू.	1922 : british samrajya bintari (redio) telegraphane jodnyachi yojana karyanvit; englondmadhun kairoshi sandeshvahan suru.
रसिक.कॉम (मराठी मजकूर)	rashik.com (marathi majkur)
धंदेवाईक सावकार चालू शेतकी कामासाठी कर्जे देतात.	dhandevaik savkar chalu shetakari kamasathi karje detat.
तसेच, योजनेचा लाभ घेण्यासाठी गुणवत्तेची मर्यादाही शिथिल करुन ६० वरुन ५० टक्के करण्याचा महत्त्वाचा निर्णय घेतला.	tasech, yojanecha labha ghenyasathi gunavattechi maryadahi shithil karun 60 varun 50 takke karnyacha mahatwacha nirnay ghetala.
१९९३ सालापासून पाकिस्तान सरकारने बादशाही मशीदीला युनेस्कोच्या जागतिक वारसा स्थानंच्या यादीमध्ये स्थान मिळावे ह्यासाठी प्रयत्न केले आहेत.	1993 salapasoon pakisthan sarkarane badshahi mashidila yuneskochya jagtik varasa sthanachya yadimadhye sthan milave hyasathi prayatna kele ahet.
या जनसंपर्क कार्यालयाची स्थापना केली.	ya jansampark karyalayachi sthapana keli.
हे खेळाडू चढाई करतात.	he kheladu chadhai kartat.
२०१४ पासून पाच एकदिवसीय सामन्यांमध्ये त्याने पंच म्हणून आणि २०१२ पासून अकरा ट्वेंटी२० सामन्यांत पंच म्हणूनही त्यांनी काम पाहिले.	2014 pasun pach ekdivsiya samnyanmadhye tyane panch mhanun ani 2012 pasoon akara twenty20 samnyat panch mhanunahi tyanni kam pahile.
रणजित देसाई यांची आधीची पत्‍नी जिवंत असतानाच त्यांनी माधवीशी विवाह केला होता.	ranjeet desai yanchi aadhichi patni jivant asatanach tyanni madhvishi vivah kela hota.
गोविंद पांडुरंग हे रसायनशास्त्र घेऊन एम.	govind pandurang he rasayanshatra gheuoon M.
हिला शाळेत जाण, परीक्षा आणि अभ्यास आवडतो.	hila shalet jann, pariksha ani abhyas avadato.
त्यापासून अलिप्त राहणे शक्य नव्हते.	tyapasun alipt rahane shakya navhate.
भारतात ईस्ट इंडिया कंपनीद्वारे ब्रिटिश राजवट आणल्यावर त्याने येथील अमाप संपत्ती लुटून ब्रिटिश राजवटीस दिली.	bhartat east india companidware british rajvat anlyavar tyane tethil amap sampatti lutoon british rajvatis dili.
तसेच धर्माविरूध्द वागणार्‍या, धर्मपरिवर्तन करणार्‍या लोकांच्या कारवायांना आपण प्रतिबंध करेन व आपल्या धर्मात परत येणार्‍या लोकांना आपलेसे करून सामावून घेईल, अशी प्रतिज्ञाच आज लोक घेतात.	tasech dharmavirudha vagnarya, dharmparivartan karnarya lokanchya karvayanna apan pratibandh karen va apalya dharmat parat yenarya lokanna apalese karun samavoon gheil, ahsi pratidnyach aaj lok ghetat.
ऱ्होडेशिया (आजचा झिम्बाब्वे) ह्या प्रदेशाला ऱ्होड्सचेच नाव दिले गेले आहे.	vhrodesiya (ajachya zimbombe) hya pradeshala vhrodschech nav dile gele ahe.
त्यामुळे या कॅलेंडडरचा प्रसार करण्याचे कार्यही संस्था आणि तिचे एक प्रमुख सदस्य हेमंत मोने करतात..	tyamule ya calendercha prasar karnyache karyahi sanstha ani tiche ek pramukh sadasya hemant mone kartat.
आयझॅक न्यूटन	isaac newton
बोर्डी नदी ही पूर्णा नदीची उपनदी आहे.	board nadi hi purna nadichi upanadi ahe.
प्रचंड मोठा लवाजमा, सैन्य आणि फौजफाटा सोबत घेऊन शाहिस्तेखान निघाला आणि वाटेत असणाऱ्या प्रत्येक राज्यात, गावात त्याने दहशत पसरवीत जमेल तेवढा जमेल तेथे विध्वंस केला.	prachand motha lavajama, sainya ani phojphata sobat gheuoon shahistekhan nighala ani vatet asanarya pratyek rajyat, gavat tyane dahashat pasaravit jamel tevada jamel tethe vidhwans kela.
मदर इंडिया व सलाम बॉम्बे नंतर हा केवळ तिसरा भारतीय चित्रपट आहे ज्यास ऑस्कर नामांकन लाभले.	mother india va salam bombe nantar ha keval tisara bhartiy chitrapat ahe jyas oscar namankan labhale.
पैकी ९०२ विमाने त्यांना सुपूर्द करण्यात आली आहेत.	paiki 902 vimane tyanna supurd karnyat aali ahet.
