हेपेटाइटिस	hepatitis
तमिळ	tamil
भाषेत	bhashet
गीतलेखन	gitalekhan
करणाऱ्या	karanarya
तामरै	tamarai
यांना	yanna
त्यांच्या	tyanchya
मिन्नल्ले	minnalle
या	ya
चित्रपटामुळे	chitrapatamule
सर्वप्रथम	sarvapratham
प्रसिद्धी	prasiddhi
मिळाली	milali
</s>	</s>
त्यामुळे	tyamule
गव्हाणीत	gavhanit
त्यांचे	tyanche
खाद्य	khady
ठेवतात	thevatat
ती	ti
जागा	jaga
त्यांचे	tyanche
फक्त	phakt
तोंड	tond
जाईल	jail
अशी	ashi
व्यवस्था	vyavastha
असावी	asavi
</s>	</s>
इतिहासविषयक	itihasavishayak
जैन	jain
धर्मीय	dharmiy
मान्यतेनुसार	manyatenusar
महावीरांचा	mahavirancha
जन्म	janm
इ	etc
</s>	</s>
खाणकामाचा	khanakamacha
धोका	dhoka
जंगलप्रदेश	jangalpradesh
संरक्षित	sanrakshit
प्रदेश	pradesh
त्यांजवळील	tyanjavalila
वन्यजीव	vanyjiv
अभयारण्ये	abhayaranye
व्	v
राष्ट्रीय	rashtriya
उद्याने	udyane
यांना	yanna
संभवतो	sambhavato
</s>	</s>
वारुळामध्ये	varulamadhye
नागांचा	nagancha
मुक्त	mukta
संचार	sanchar
होत	hot
होता	hota
</s>	</s>
चिटणीस	chitanis
यांचे	yanche
समग्र	samagra
वाङ्मय	vangmay
वामन	vaman
निंबाळकरांनी	nimbalakaranni
प्रकाशित	prakashit
केले	kele
होते	hote
</s>	</s>
याआधी	yaadhi
काचिन्स्की	kachinski
वॉर्सॉचा	warsaw
महापौर	mahapaur
होता	hota
</s>	</s>
संख्याशास्त्राचा	sankhyashastracha
संच	sancha
नव्हे	navhe
पण	pan
मुंबई	mumbai
म्हणजे	mhanje
शहरातील	shaharatil
लोक	lok
जनसामान्य	jansamanya
</s>	</s>
तसेच	tasech
राज्याचे	rajyache
दिवंगत	divangata
कृषीमंत्री	krushimantri
पांडुरंग	pandurang
फुंडकर	phundakar
यांच्या	yanchya
निधनानंतर	nidhananantar
मुख्यमंत्री	mukhyamantri
देवेंद्र	devendra
फडणवीस	phadanvis
यांनी	yanni
चंद्रकांत	chandrakant
दादा	dada
पाटील	patil
यांच्याकडे	yanchyakade
कृषी	krushi
खात्याचा	khatyacha
कार्यभार	karybhar
दिला	dila
</s>	</s>
आपल्याला	aapalyala
पृथ्वीवरून	pruthvivarun
फक्त	phakt
बुध	budh
व	v
शुक्र	sukra
यांचीच	yanchich
अधिक्रमणे	adhikramane
दिसतात	disatat
</s>	</s>
ही	hi
संस्था	sanstha
नवोदित	navodit
खेळाडूंचे	kheladunche
प्रशिक्षक	prashikshak
पाठबळ	pathabal
आणि	ani
सहकार्य	sahkarya
करण्यासाठी	karanyasathi
आहे	ahe
</s>	</s>
मराठीत	marathit
गांधी	gandhi
विरुद्ध	viruddha
गांधी	gandhi
या	ya
नावाचे	navache
नाटक	natak
अजित	ajit
दळवी	dalavi
यांनी	yanni
लिहिले	lihile
आहे	ahe
</s>	</s>
उत्कृष्ट	utkrusta
वाङ्‌मयनिर्मितीच्या	vandmayanirmitichya
राज्य	rajya
पुरस्कार	puraskar
परीक्षक	parikshak
समितीचे	samitiche
सदस्य	sadasya
१९८२-८४	1982-84
</s>	</s>
सध्या	sadhya
मडिसार	madisar
साड्या	sadya
रेशीम	reshim
सूती	suti
रेशीम-सुती	resim -suti
मिश्रित	mishrit
पॉलिस्टर-सुती	polystar-suti
मिश्रित	mishrit
इत्यादी	ityadi
कापड	kapad
प्रकारांमध्ये	prakaranmadhye
उपलब्ध	uplabdha
आहे	ahe
</s>	</s>
थापी	thapi
सारखी	sarakhi
रुंद	rund
चोच	chocha
नारंगी	narangi
रंगाचे	rangache
पाय	pay
असतात	asatat
</s>	</s>
राजवाड्याभोवतीच्या	rajvadyabhovatichya
परिसरात	parisarat
असलेली	asaleli
उद्याने	udyane
हिरवळीची	hiravalichi
कुरणे	kurane
आणि	ani
कारंजी	karanji
ही	hi
विल्यम	william
गोल्डिरग	goldberg
या	ya
ब्रिटिश	british
उद्यानतज्ज्ञाने	udyanatajdnyane
तयार	tayar
केली	keli
आहेत	aahet
</s>	</s>
जून	june
हा	ha
ग्रेगरीय	gregariya
दिनदर्शिकेनुसार	dindarshikenusar
वर्षातील	varshatil
सहावा	sahava
महिना	mahina
आहे	ahe
</s>	</s>
हे	he
मध्यम	madhyam
आकाराचे	aakarache
गाव	gav
आहे.२०११	ahe.2011
च्या	chya
भारतीय	bharatiy
जनगणनेनुसार	janagananenusar
गावात	gavat
२३९	239
कुटुंबे	kutumbe
राहतात	rahatat
</s>	</s>
या	ya
रचनेत	rachanet
नृत्त	nrutta
आणि	ani
अभिनयाचा	abhinayacha
समतोल	samatol
साधलेला	sadhalela
असतो	asato
</s>	</s>
सूर्यकांती	suryakanti
दिपोत्सव	dipotsav
</s>	</s>
प्रत्येक	pratyek
गाण्याचा	ganyacha
चिजेचा	chijecha
अर्थ	arth
नीट	nit
समजावून	samajavuna
घेऊन	gheun
त्या	tya
भावपूर्णतेने	bhavapurnatene
गात	gat
होत्या	hotya
</s>	</s>
लिंगायत	lingayat
हा	ha
१२व्या	12vya
शतकात	shatakat
महात्मा	mahatma
बसवेश्वर	basaveshwar
यांनी	yanni
स्थापन	sthapan
केलेला	kelela
एक	ek
स्वतंत्र	swatantra
अवैदिक	avaidik
धर्म	dharm
आहे	aahe
लिंगायत	lingayat
हिंदू	hindu
नाहीत	nahit
ते	te
वीरशैव	virashaiv
नाहीत	nahit
</s>	</s>
कदाचित	kadachit
गांधीनी	gandhini
त्यांचा	tyancha
इंग्रज	ingraj
साम्राज्यास	samrajyas
असलेला	aslela
पाठींबा	pathimba
दर्शवावा	darshavava
आणि	ani
भारताच्या	bharatachya
स्वातंत्र्याच्या	swatantryachya
मागणीसाठी	maganisathi
मदत	madat
मिळवावी	milavavi
हा	ha
त्यामागचा	tyamagacha
हेतू	hetu
होता	hota
</s>	</s>
यांखेरीज	yankherij
प्रत्येक	pratyek
संघाला	sanghala
बदली	badali
खेळाडू	kheladu
खेळवता	khelavata
येतात	yetat
</s>	</s>
कन्नड	kannada
आणि	ani
तेलुगू	telgu
भाषा	bhasha
आणखी	anakhi
पाचशे	pachashe
वर्ष	varsha
वरिष्ठ	varistha
आहेत	ahet
असे	ase
मानले	manale
जाते	jate
</s>	</s>
गणगौळण	gangaulan
</s>	</s>
मुख्य	mukhya
मंदिराभोवती	mandirabhovati
मोठे	mothe
प्रांगण	prangan
आहे	ahe
आणि	ani
आजुबाजूला	ajubajula
प्रशस्त	prashasta
ओवर्‍या	ovarya
आहेत	aahet
</s>	</s>
ह्या	hya
पुस्तकात	pustakat
रॉबिन्सन	robinson
क्रुसो	crusoe
नावाच्या	navachya
काल्पनिक	kalpanik
स्कॉटिश	scotish
व्यक्तीचे	vyaktiche
आत्मचरित्र	atmacharitra
वर्णवले	varnavale
आहे	ahe
</s>	</s>
खिचडीचा	khichadicha
रुचकरपणा	ruchakarpana
वाढवण्याकरिता	vadhavanyakarita
आधी	adhi
जिऱ्याची	jiryachi
फोडणी	phodani
करावी	karavi
</s>	</s>
या	ya
दिवशी	divashi
१९५०	1950
साली	sali
जागतिक	jagatik
हवामान	havaman
संघटनेची	sanghatanechi
स्थापना	sthapana
झाली	zali
होती	hoti
</s>	</s>
पण	pan
गांधीहत्येच्या	gandhihatyechya
संदर्भात	sandarbhat
केतकरांनी	ketakaranni
केलेल्या	kelelya
काही	kahi
विधानांमुळे	vidhananmule
त्यांच्यावर	tyanchyavar
सरकारी	sarakari
रोष	rosh
ओढवला	odhavala
</s>	</s>
बगळ्याच्या	bagalyachya
रूपात	rupat
असलेल्या	asalelya
एका	eka
बकासुराला	bakasurala
गायी	gayi
चरायला	charayala
आलेल्या	alelya
श्रीकृष्णाने	shrikrishnane
गळा	gala
दाबून	dabun
मारले	marale
</s>	</s>
गीता	gita
गाती	gati
ज्ञानेश्वर	dnyaneshwar
वासुदेव	vasudev
</s>	</s>
ग्रेगर	gregor
जोहान	johann
मेंडेल	mendel
ऑस्ट्रिया	austria
</s>	</s>
मनाची	manachi
एकाग्रता	ekagrata
विलक्षण	vilakshan
चपळता	chapalata
शरीराचा	shariracha
तोल	tol
सांभाळण्याचे	sambhalanyache
पूर्ण	purna
कौशल्य	kaushalya
काटकपणा	katakpana
आणि	ani
चतुरस्र	chaturastra
भान	bhana
वृद्धिंगत	vruddhingat
करणाऱ्या	karanarya
मल्लखांब	mallakhamb
विद्येतही	vidhyetahi
राणी	rani
लक्ष्मीबाई	lakshmibai
तरबेज	tarabej
झाल्या	zalya
</s>	</s>
लिट	lite
ही	hi
पदवी	padavi
मिळवली	milavali
</s>	</s>
मनाचा	manacha
स्वभावच	swabhavacha
असा	asa
आहे	ahe
की	ki
एक	eka
काम	kam
शरीराच्या	sharirachya
द्वारे	dware
करीत	karit
असता	asata
दुसरीही	dusarihi
मानसिक	manasik
कामे	kame
त्याच	tyacha
वेळी	veli
ते	te
करते	karate
</s>	</s>
या	ya
वास्तूत	vastuta
महापालिकेने	mahapalikene
बाल	bal
शिवाजी	shivaji
जिजाऊ	jijau
यांचे	yanche
सुंदर	sundar
शिल्प	silpa
उभारले	ubharale
आहे	ahe
</s>	</s>
त्या	tya
गोठविलेल्या	gothavilelya
स्फटिकांचे	sphatikanche
मग	mag
सूक्ष्म-छायाचित्रणाद्वारे	sukshma-chayachitranadware
सद्भिरुचीदर्शक	sadbhiruchidarshak
गुणधर्म	gundharm
ज्ञात	dnyat
केल्या	kelya
जायचे	jayche
</s>	</s>
२००४	2004
च्या	chya
लोकसभा	lokasabha
निवडणुकींमध्ये	nivadanukinmadhye
पश्चिम	paschim
बंगाल	bangal
राज्यातील	rajyatil
बराकपूर	barakapur
लोकसभा	lokasabha
मतदारसंघातून	matadarsanghatun
लोकसभेवर	lokasabhevar
निवडून	nivadun
गेले	gele
</s>	</s>
माडिया	madiya
गोंड	gond
</s>	</s>
खडीवाले	khadivale
यांचे	yanche
धाकटे	dhakate
बंधू	bandhu
डी	dr
</s>	</s>
पुढे	pudhe
येणाऱ्या	yenarya
कल्पांतात	kalpantat
या	ya
सर्वांचे	sarvanche
रक्षण	rakshan
झाले	zale
पाहिजे	pahije
</s>	</s>
हिंदू	hindu
देव	dev
लढाया	ladhaya
करीत	karit
असले	asale
तरी	tari
ते	te
अन्यायाची	anyayachi
बाजू	baju
घेत	ghet
नाहीत	nahit
</s>	</s>
सम्यकत्व	samyakatva
बौद्ध	bauddha
तत्त्वज्ञान	tattvadnyan
</s>	</s>
या	ya
जुन्या	junya
इमारतीतील	imaratitil
खोल्यांना	kholyanna
या	ya
स्त्रियांची	striyanchi
नावे	nave
दिली	dili
होती	hoti
</s>	</s>
फुटबॉल	football
जगतात	jagatat
अत्यंत	atyant
लोकप्रिय	lokapriya
अशा	asha
या	ya
स्पर्धेचे	spardheche
जगभरात	jagabharat
अदमासे	adamase
एक	ek
अब्ज	abja
चाहते	chahate
असावेत	asavet
</s>	</s>
लातूर	latur
</s>	</s>
१९२२	1922
साली	sali
स्टालिन	stalin
यांना	yanna
बोल्शेविक	bolshevik
पक्षाचे	pakshache
महासचिव	mahasachiv
करण्यात	karanyat
आले	ale
</s>	</s>
दादा	dada
धर्माधिकारी	dharmadhikari
-	–
जीवन	jivan
दर्शन	darshan
संपादिका	sampadika
तारा	tara
धर्माधिकारी	dharmadhikari
</s>	</s>
आंब	amba
नदी	nadi
ही	hi
महाराष्ट्रातील	maharashtratil
नागपूर	nagapur
जिल्ह्यातील	jilhyatil
एक	ek
नदी	nadi
आहे	ahe
विदर्भातील	vidarbhatil
एक	ek
नदी	nadi
</s>	</s>
गेल्या	gelya
वीसएक	visek
वर्षांत	varshant
नवी	navi
औषधे	aushadhe
तसेच	tasecha
मार्गदर्शक	margadarsaka
तत्त्वांमुळे	tattvanmule
संधिवाताच्या	sandhivatachya
उपचारांमध्ये	upacharanmadhye
क्रांती	kranti
झाली	jhali
आहे	ahe
</s>	</s>
वधस्तंभ	vadhastambha
आत्मकथनात्मक	atmakathanatmak
कादंबरी	kadambari
हिंदीत	hindit
सुद्धा	suddha
याच	yacha
नावाने	navane
</s>	</s>
मंगळागौर	mangalagaura
या	ya
सणात	sanat
महिला	mahila
जास्त	jasta
करून	karuna
या	ya
फुगड्या	phugadya
खेळतात	khelatat
</s>	</s>
रामसुतकृत	ramsutakrut
साधुविलास	sadhuvilas
संपादित	sampadit
ग्रंथ	grantha
</s>	</s>
थॉमसच्या	thomaschya
युनियन	union
सैन्याने	sainyane
लेफ्टनंट	lieutenant
जनरल	general
जॉन	john
बेल	bell
हूडच्या	hood chya
कॉन्फेडरेट	confederate
आर्मी	army
ऑफ	of
टेनेसीला	tennesseela
हरविले	haravile
</s>	</s>
तिने	tine
डेक्कन	deccan
कॉलेजमध्ये	colonymadhye
प्रवेश	pravesh
घेतला	ghetala
आणि	ani
आपल्या	apalya
शेवटच्या	shevatchya
अंकाच्या	ankachya
परीक्षेत	parikshet
प्रेसिडेन्सीमध्ये	presidencymadhye
अव्वल	avval
स्थान	sthan
मिळविण्याचा	milavinyacha
दावा	dava
केला	kela
ज्यामुळे	jyamule
तो	to
इंग्लंडमध्ये	englandmadhye
आणखी	anakhi
अभ्यास	abhyas
करण्यासाठी	karanyasathi
तिला	tila
एक	ek
सरकारी	sarakari
शिष्यवृत्ती	shishyavrutti
मिळेल	milel
</s>	</s>
काही	kahi
फळांच्या	phalanchya
बाबतीत	babatit
मिठाचे	mithache
द्रावण	dravan
वापरून	vaparun
पदार्थांचे	padarthanche
आयुष्य	ayushya
वाढविले	vadhavile
जाते	jate
</s>	</s>
२३५	235
च्या	chya
सुमारास	sumaras
वयाच्या	vayachya
विसाव्या	visavya
वर्षी	varshi
ऑरेलियन	oreliyan
सैन्यात	sainyat
दाखल	dakhal
झाल्याचे	zalyache
मानले	manale
जाते	jate
</s>	</s>
अगदी	agadi
लहान	lahan
प्रमाणात	pramanata
कुक्कुटपालन,बकरीपालन	kukkutapalan, bakaripalan
सुध्दा	suddha
ते	te
करतात	karatat
</s>	</s>
यातले	yatale
अनेक	anek
विद्यार्थी	vidyarthi
आज	aaj
पत्रकार	patrakar
म्हणून	mhanun
नावारूपाला	navarupala
आले	aale
आहेत	aahet
</s>	</s>
अभिजात	abhijat
संगीताबरोबरच	sangitabarobaracha
नवीन	navin
प्रकारचे	prakarache
संगीतही	sangitahi
येथे	yethe
सदर	sadar
केले	kele
जाते	jate
</s>	</s>
भाटिया	bhatiya
यांचे	yanche
आईवडील	aaivadil
भारतीय	bharatiy
असून	asun
बॉस्टनमध्ये	bostanmadhye
स्थायिक	sthayik
आहेत	aahet
</s>	</s>
कोलगेट	colagate
सॉल्ट	salt
आणि	ani
निम	nim
टूथपेस्ट	toothpeste
</s>	</s>
अशाच	ashach
झाडांवर	zadanvar
बहुधा	bahudha
बगळ्यांचे	bagalyanche
घरटेही	gharatehi
असते	asate
</s>	</s>
१७८९	1789
रोजी	roji
सुमारे	sumare
१०००	1000
विरोधकांनी	virodhakanni
याच्यावर	yachyavar
चढाई	chadhai
केली	keli
व	v
ह्यातच	hyatach
फ्रेंच	french
राज्यक्रांती	rajyakranti
मुळे	mule
रोवली	rovali
गेली	geli
</s>	</s>
याच	yach
लाल	lal
महालाने	mahalane
शाहेस्तेखानाला	shahistekhanala
त्याची	tyachi
बोटे	bote
सोडून	sodun
जाण्यास	janyas
भाग	bhag
पडले	padale
ह्या	hya
प्रकाराने	prakarane
औरंगजेबासारख्या	aurangajebasarakhya
बादशहाची	badasahachi
गादी	gadi
हादरल	hadaral
</s>	</s>
केशवस्वामी	keshavaswami
पाच	pach
वर्षाचे	varshache
असेपर्यंत	aseparyant
बोलत	bolat
नव्हते	navhate
</s>	</s>
पासवर्ड	password
</s>	</s>
२००७	2007
मध्ये	madhye
इंग्लंड	england
दौऱ्यावर	dauryavar
गेलेल्या	gelelya
भारतीय	bharatiy
संघात	sanghat
हरभजन	harabhajan
नव्हता	navhata
पहिल्या	pahilya
टी२०	t20
वर्ल्ड	world
कपकरता	cupkarata
निवड	nivad
समितीने	samitine
हरभजनला	harabhajanala
संघात	sanghata
परत	parat
आणले	anale
तो	to
क्षण	kshan
मोलाचा	molacha
ठरला	tharla
</s>	</s>
बुराई	burai
नदी	nadi
पुढे	pudhe
सुलवाडे	sulavade
येथे	yethe
तापी	tapi
नदीला	nadila
मिळते	milate
</s>	</s>
पण	pan
भीष्माने	bhishmane
आजीवन	ajivan
ब्रह्मचर्याची	brahmacharyachi
प्रतिज्ञा	pratidnya
केली	keli
असल्यामुळे	asalyamule
तोसुद्धा	tosuddha
तिला	tila
नकार	nakar
देतो	deto
</s>	</s>
गरुड	garud
एका	eka
खेपेस	khepes
एक	eka
किंवा	kinva
दोन	don
अंडी	andi
घालतात	ghalatat
</s>	</s>
याच्या	yachya
दुभंगलेल्या	dubhangalelya
शेपटीमुळे	sepatimule
हा	ha
घार	ghar
कुटुंबात	kutumbat
गणला	ganala
जातो	jato
</s>	</s>
राजा	raja
हरिश्र्चंद्र	harishchandra
हा	ha
पहिला	pahila
भारतीय	bharatiy
मूक	muk
चित्रपट	chitrapat
मे	may
३	3
१९१३	1913
रोजी	roji
मुंबई	mumbai
येथील	yethil
कॉरोनेशन	cornation
चित्रपटगृहात	chitrapatagruhat
प्रदर्शित	pradarshit
झाला	zala
</s>	</s>
महाराष्ट्र	maharashtra
राज्य	rajya
विद्युत	vidyut
वितरण	vitarana
कंपनी	company
मर्या	marya
</s>	</s>
केसरीवाडा	kesariwada
सार्वजनिक	sarvajanik
गणेशोत्सव	ganeshotsav
मंडळ	mandal
</s>	</s>
श्री	shri
धन्वंतरी	dhanvantari
</s>	</s>
नव्या	navya
गझलकारांकडून	gajhalkarankadun
आश्वासक	aashvasak
लेखन	lekhan
मराठी	marathi
मजकूर	majakur
</s>	</s>
श्रवणशाळा	shravanashala
पालकशाळा	palakashala
काव्यसंध्या	kavyasandhya
इत्यादी	ityadi
उपक्रमांचे	upakramanche
आयोजन	ayojan
करून	karun
या	ya
ग्रंथसख्याने	granthasakhyane
आपला	apala
वेगळा	vegala
ठसा	thasa
साहित्यिक	sahityik
व	v
सांस्कृतिक	sanskrutika
जीवनावर	jivanavar
उमटवला	umatavala
आहे	aahe
</s>	</s>
तेव्हापासून	tevhapasun
ऑस्कर	oscar
पुरस्कारासह	puraskarasah
गोल्डन	goldan
ग्लोब	globe
हा	ha
चित्रपट	chitrapat
सृष्टीमधील	srushtimadhil
एक	eka
मानाचा	manacha
व	v
लोकप्रिय	lokapriya
पुरस्कार	puraskar
राहिला	rahila
आहे	ahe
</s>	</s>
आयएसआय’, ‘सीआयए’शी	isi',csi shi
त्याची	tyachi
तुलना	tulana
करणे	karane
बेजबाबदारपणाचे	bejababadarapanache
ठरेल	tharel
</s>	</s>
अनुवांशिक	anuvansik
व्यक्तिमत्त्व	vyaktimattva
दोष	dosh
</s>	</s>
यांचा	yancha
जो	jo
योग	yoga
तो	to
हठयोग	hathayoga
</s>	</s>
वैशाखामध्ये	vaishakhamadhye
चंदनाची	chandanachi
पूजा	puja
आणि	ani
शंकराची	shankarachi
बसलेली	basaleli
मूर्ती	murti
साकारली	sakarali
जाते	jate
</s>	</s>
मैत्रेयी	maitreyi
कृष्णराज	krushnaraj
यांनी	yanni
संपादित	sampadita
केलेली	keleli
व	v
एस	s
</s>	</s>
रानावानातला	ranavanatala
माणूस	manus
पद्मगंधा	padmagandha
प्रकाशन	prakashan
पुणे	pune
२००६	2006
पृष्ठे	prushthe
१४४	144
निसर्गलेखक	nisargalekhak
मारुती	maruti
चितमपल्ली	chitamapalli
यांच्या	yanchya
साहित्याची	sahityachi
समीक्षा	samiksha
</s>	</s>
उत्तर	uttar
महाराष्ट्रातल्या	maharashtratalya
जळगाव	jalgaon
जिल्ह्यातील	jilhyatil
भोकरबारी	bhokarbari
प्रकल्प	prakalp
एक	eka
धरण	dharan
आहे	aahe
</s>	</s>
भूपाळगडावर	bhupalgadavar
हेरगिरी	heragiri
करताना	karatana
त्याचा	tyacha
मृत्यू	mrutyu
झाला	zala
लढाईत	ladhait
जखमी	jakhami
झालेल्या	zalelya
बहिर्जी	bahirji
यांनी	yanni
भूपाळगडावर	bhupalagadavar
येऊन	yeun
महादेवाच्या	mahadevachya
चरणी	charani
आपले	apale
प्राण	prana
सोडले	sodale
अशा	asha
आख्यायिका	akhyayika
मात्र	matra
तत्कालीन	tatkalin
बखरीत	bakharita
सापडतात	sapadatat
</s>	</s>
संमेलनाध्यक्ष	sammelanadhyaksha
ॲडव्होकेट	advocate
पुरुषोत्तम	purushottam
खेडेकर	khedekar
असतील	asatil
</s>	</s>
लँब	lamb
लहरी	lahari
देखील	dekhil
पहा	paha
</s>	</s>
आणि	ani
बेडटाईम स्टोरी	bedtimestory
ह्या	hya
दोन	don
नाट्यकॄती	natyakruti
त्यांच्या	tyanchya
नावावर	navavar
आहेत	aahet
</s>	</s>
कठगुलाब	kathagulab
ही	hi
कादंबरी	kadambari
मराठी	marathi
मल्याळी	malyali
आणि	ani
जपानी	japani
भाषेत	bhashet
अनुवादित	anuvadita
झाली	zali
आहे	ahe
</s>	</s>
पलूस	palus
येथे	yethe
औद्योगिक	audyogik
वसाहत	vasahat
उभारली	ubharali
</s>	</s>
त्याकाळी	tyakali
हा	ha
गणपती	ganapati
बाहुलीच्या	bahulichya
हौदाचा	haudacha
सार्वजनिक	sarvajanik
गणपती	ganapati
म्हणून	mhanun
प्ळ्खला	plkhala
जात	jat
होता	hota
</s>	</s>
आजही	aajahi
भिल्ल	bhill
समाज	samaj
रामाबरोबर	ramabarobar
तिचे	tiche
नाम	nam
घेत	ghet
निसर्गप्रेम	nisargaprem
अनुभवत	anubhavat
आहे	ahe
</s>	</s>
नंतर	nantar
मंदिराच्या	mandirachya
पुढच्या	pudhachya
भागात	bhagat
लाकडाची	lakadachi
वखार	vakhar
चालू	chalu
केली	keli
तर	tar
मंदिराच्या	mandirachya
सभामंडपाला	sabhamandapala
कोळशाचे	kolashache
गोदाम	godam
केले	kele
</s>	</s>
ही	hi
शर्यत	sharyat
१९३६	1936
सालापासून	salapasun
हंगेरी	hungry
देशाच्या	deshachya
हंगेरोरिंग	hangeroring
येथे	yethe
खेळवली	khelavali
जाते	jate
</s>	</s>
प्राण्यांच्या	pranyanchya
लहरी	lahari
पी-तरंग	p-tarang
संपुष्टात	sampushtat
येणारी	yenari
लहरी	lahari
आहेत	aheta
जी	ji
रेफरियडिकल	referential
आहेत	aaheta
</s>	</s>
वारणेचा	varanecha
वाघ	wagh
</s>	</s>
यानंतर	yanantar
जगण्यासाठी	jaganyasathi
लढाई	ladhai
सुरू	suru
झाली	zali
</s>	</s>
वाघेरा	waghera
गावातून	gavatun
गडमाथा	gadamatha
गाठायला	gathayala
आणि	ani
स्थलदर्शनासाठी	sthaladarshanasathi
दोन	don
तास	tasa
पुरे	pure
</s>	</s>
संपूर्ण	sampurn
शो	show
16	16
अलग	alag
युनिट-प्रदर्शन	unit-pradarshan
लावले	lavale
एकत्रीत	ekatrit
केले	kele
जातात	jatat
आधारित	adharit
आहे	ahe
</s>	</s>
मलिक	malik
अंबर	ambar
ह्या	hya
निजामशहाच्या	nijamashahachya
प्रभावी	prabhavi
वजिराच्या	vajirachya
मृत्यूनंतर	mrutyunantar
मोगल	mogal
सम्राट	samrat
शहाजहानच्या	shahajahanachya
सैन्याने	sainyane
इ	etc
</s>	</s>
येथे	yethe
वायुसेना	vayusena
तळही	talahi
आहे	ahe
</s>	</s>
या	ya
एकदिवसीय	ekadivasiy
साहित्य	sahitya
संमेलनाच्या	sammelanachya
अध्यक्षपदी	adhyakshapadi
प्रा	pro
</s>	</s>
मोती	moti
बुलासा	bulasa
हे	he
पुण्यात	punyata
आल्यावर	alyavar
प्रार्थनासमाजाचे	prarthanasamajache
सदस्य	sadasy
बनले	banale
</s>	</s>
पाकिस्तानातील	pakistanatil
सिंध	sindha
प्रांताचा	prantacha
पूर्व	purva
भाग	bhag
थरपरकार	tharaparakar
जिल्हा	jilha
व	v
पंजाब	punjab
प्रांताचा	prantacha
दक्षिणेकडचा	dakshinekadacha
काही	kahi
भाग	bhag
थरमध्ये	tharmadhye
येतो	yeto
</s>	</s>
अंटार्क्टिका	antarctica
खंडाचा	khandacha
शोध	shodh
जेम्स	james
कुक	kuk
याने	yane
१७७२	1772
मधे	madhe
लावला	lavala
</s>	</s>
हीने	hine
जॉर्ज	george
वॉशिंग्टन	washington
विद्यापीठातून	vidyapithatun
फ्रेंच	french
साहित्यात	sahityat
पदवी	padavi
मिळवली	milavali
आणि	ani
नंतर	nantar
वॉशिंग्टन	washington
टाइम्स-हॅराल्डमध्ये	times-haraldmadhye
छायाचित्रकाराची	chayachitrakarachi
नोकरी	nokari
केली	keli
</s>	</s>
या	ya
व्यतिरिक्त	vyatirikt
विशेष	vishesh
लक्ष	laksha
वेधून	vedhun
घेण्यात	ghenyat
यशस्वी	yashaswi
झालेले	zalele
आणि	ani
नवीन	navin
संकल्पनांवर	sankalpananvar
आधारलेले	adharlele
पैठणी	paithani
साड्या	sadya
परिधान	paridhan
करून	karun
सादर	sadar
करण्यात	karanyat
आलेला	alela
फॅशन	fashion
शो	show
आणि	ani
प्रेमाला	premala
वय	vay
नसते	nasate
या	ya
कल्पनेवर	kalpanevar
आधारित	adharit
४०	40
ते	te
५०	50
वर्षांवरील	varshanvaril
जोडप्यांचे	jodapyanche
पाश्चिमात्य	pashcimaty
धर्तीवर	dhartivar
पार्टी	party
समूह	samuh
नृत्य	nrutya
हे	he
दोन	don
प्रयोग	prayog
तसेच	tasecha
मेक	make
इन	in
इंडिया	india
संकल्पनेवर	sankalpanevar
आधारित	adharit
नाटिका	natika
असे	ase
हे	he
तीन	tin
प्रकार	prakar
प्रेक्षकांनी	prekshakanni
उचलून	uchalun
धरले	dharale
</s>	</s>
एमाज़ॉन.कॉम	amazon.com
अंग्रेजी	angreji
दुवा	duva
</s>	</s>
स्वानंद	swanand
ज्येष्ठ	jyeshtha
नागरिक	nagarik
संघात	sanghat
गझलांचा	gajhalancha
विशेष	vishesh
कार्यक्रम	karyakram
सादर	sadar
केला	kela
</s>	</s>
जायखेडा	jaykheda
</s>	</s>
या	ya
टारगेट	target
या	ya
भारतातील	bharatatila
इंग्लिश	english
नियतकालिकाच्या	niyatakalikachya
संपादक	sampadak
होत्या	hotya
त्यांनी	tyanni
३०पेक्षा	30peksha
अधिक	adhika
मुलांसाठीची	mulansathichi
पुस्तके	pustake
लिहिली	lihili
आहेत	aaheta
</s>	</s>
विधवांना	vidhavanna
केस	kesh
कापून	kapun
टाकण्याची	takanyachi
सक्ती	sakti
करणे	karane
अस्पृश्यता	asprushyata
यांसारख्या	yansarakhya
रुढींना	rudhinna
त्यांनी	tyanni
तीव्र	tivra
विरोध	virodh
केला	kela
</s>	</s>
सातारा	satara
जिल्ह्यातील	jilhyatil
हे	he
महत्त्वाचे	mahattvache
धरण	dharan
आहे	ahe
</s>	</s>
असे	ase
म्हटले	mhatale
आहे	ahe
</s>	</s>
नरेंद्र	narendra
मोदी	modi
जेव्हा	jevha
लोकसभा	lokasabha
निवडणुकीच्या	nivadanukichya
प्रचारात	pracharat
सक्रिय	sakriya
होते	hote
तेव्हा	tevha
गुजरातची	gujaratachi
धुरा	dhura
आनंदीबेन	anandiben
याच	yach
सांभाळत	sambhalat
होत्या	hotya
त्यामुळे	tyamule
त्याच	tyach
मोदींची	modinchi
जागा	jaga
घेतील	ghetil
अशी	ashi
अटकळ	atakal
बांधली	bandhali
जात	jat
होती	hoti
</s>	</s>
तो	to
सोव्हियेत	soviet
