हेपेटाइटिस-	hepatitis-
पान	pan
</s>	</s>
जेम्स	James
बाँड	Bond
असो	aso
किंवा	kimva
शेरलॉक	Sherlock
होम्स,	Holmes,
ही	hi
दोन्ही	donhi
पात्रे	patre
कल्पनेतील	kalpanetil
आहेत,	aahet,
परंतु	parantu
साहित्य	sahitya
आणि	aani
दृक्श्राव्य	drukashravy
माध्यमांच्या	madhyamanchya
ताकदीमुळे	takadimule
ही	hi
दोन्ही	donhi
पात्रे	patre
वास्तवातील	vastavatil
वाटतात.	watatat.
</s>	</s>
जुलमी	julami
अधिकारी	adhikari
दुष्काळावर	dushkalavar
मदत	madat
देण्याऍवजी	denyaaivaji
आमच्या	aamachya
क्रिकेट	cricket
खेळाची	khelachi
टिंगलटवाळी	tingalatawali
करता	karata
म्हणून	mhanun
दुप्पट	duppat
कर	kar
(लगान)	(lagan)
लावतो	lawato
व	w
जर	jar
समजा	samaja
या	ya
खेळात	khelat
गावकऱ्यांनी	gavakaryanni
हरवून	haravun
दाखवले	dakhavale
तर	tar
तिन	tin
वर्षाचा	varshacha
लगान	lagan
माफ	maf
करण्याची	karanyachi
पैज्	paij
लावतो.	lavato.
</s>	</s>
जयवर्मन	Jayavarman
चौथ्याचा	chauthyacha
ख्मेर	Khmer
सम्राटपदी	samratapadi
राज्याभिषेक.	rajyabhishek.
</s>	</s>
हैदरअलीने	Haideraline
आपल्या	aapalya
जीवनक्रमाची	jivankramachi
सुरुवात	suruvat
म्हैसूरच्या	Maisurchya
हिंदू	Hindu
राजाच्या	rajachya
पदरी	padari
एक	ek
साधा	sadha
सैनिक	sainik
म्हणून	mhanun
इ.	E.
</s>	</s>
येथे	yethe
तुम्ही	tumhi
लग्नाची	lagnachi
मेजवानी	mejawani
(रिसेप्शन)	(reception)
आणि	aani
वाढदिवस	wadhadiwas
साजरे	sajare
करू	karu
शकता.	shakata.
</s>	</s>
ह्यूस	Hues
एव्हियेशन	Aviation
</s>	</s>
छातीवर	chhativar
काळा	kala
गळपट्टा.	galapatta.
</s>	</s>
नंतर	nantar
तो	to
राष्ट्रीय	Rashtriy
परिषदेत	Parishadet
१९५८	1958
साली	Sali
सामील	samil
झाला,	zala,
व	w
केंद्रीय	Kendriy
कार्यकारी	Karyakari
समितीचाही	Samitichahi
भाग	bhag
झाला.	zala.
</s>	</s>
जरा	Jara
आणि	aani
जिवंतिका	Jivantika
या	ya
भारतात	Bharatat
पूजल्या	poojalya
जाणाऱ्या	janarya
दोन	don
पुरातन	pooratan
देवता	devata
आहेत.	aahet.
</s>	</s>
फुगडी	Fugadi
हा	ha
प्रकार	prakar
लोकनृत्यामध्ये	lokanrutyamadhye
आढळतो.	aadhalato.
</s>	</s>
मेरा	Mera
नाम	naam
है	hai
शंकर	Shankar
(धनकवडीच्या	(Dhanakwadichya
शंकर	Shankar
महाराजांच्या	Maharajanchya
जीवनावरील	jeevanavaril
कादंबरी)	kadambari)
</s>	</s>
हेव्हेन	Hayden
पॅनेटीर	Panettiere
आणि	aani
पॉल	Paul
रस्ट	Rust
यांचा	yancha
अभिनय	abhinay
असलेल्या	asalelya
२००९	2009
मधील	madhil
याच	yach
नावाच्या	navachya
एका	eka
चित्रपटावर	chitrapatavar
ही	hi
कादंबरी	kadambari
तयार	tayar
करण्यात	karanyat
आलेली	aaleli
आहे.	aahe.
</s>	</s>
कपाळ	kapal
व	w
शरीराची	sharirachi
खालची	khalachi
बाजू	baju
पिवळी	piwali
असते.	asate.
</s>	</s>
तीन	Tin
लाखांची	lakhanchi
गोष्ट	gosht
(चोर)	(chor)
</s>	</s>
देवळाच्या	devalachya
आसपासच्या	aasapaschya
प्रदेशातून	pradeshatun
पाण्याचे	panyache
अनेक	anek
झरे	zare
उगम	ugam
पावतात.	pawatat.
</s>	</s>
उद्याचा	Udyacha
संसार	sansar
(शेखर)	(Shekhar)
</s>	</s>
२.रामायणाचा	2.Ramayanacha
रचनाकाळ	rachanakal
</s>	</s>
[2]	[2]
शर्मा	Sharma
अयोध्या,	Ayodhya,
फक्त	fakt
मध्ययुगीन	madhyayugin
हिंदू	Hindu
तीर्थस्थान	tirthasthan
म्हणून	mhanun
उदयास	udayas
माहीत	mahit
आहे	aahe
की	hi
प्राचीन	prachin
ग्रंथ	granth
एक	ek
pilgrim	pilgrim
केंद्र	kendra
म्हणून	mhanun
त्याचा	tyacha
उल्लेख	ullekh
करू	karu
नका	naka
असे	ase
म्हटले	mhatale
आहे.	aahe.
</s>	</s>
श्वासाने	shwasane
या	ya
शक्तीचे	shaktiche
नियमन	niyaman
करता	karata
येते.	yete.
</s>	</s>
चाळीसगाव	Chalisgaon
येथे	yethe
रेल्वे	railway
स्टेशन	station
आहे.	aahe.
</s>	</s>
शेड्यूल्ड	Scheduled
कास्ट	Cast
फेडरेशन	Federation
(बाबासाहेब	(Babasaheb
आंबेडकर)	Ambedkar)
</s>	</s>
त्यांच्यामध्ये	tyanchyamadhye
भीती,	bhiti,
नैराश्‍य,	nairashy,
न्यूनगंडाची	nyunagandachi
भावना	bhawana
आणि	aani
त्यातूनही	tyatunahi
पुन्हा	punha
रागाचा	ragacha
उद्रेक	udrek
होऊन	houn
तो	to
इतरांना	itaranna
घातक	ghatak
ठरू	tharu
शकतो.	shakato.
</s>	</s>
जनार्दन	Janardan
हरी	Hari
चिंचाळकर	Chinchalakar
</s>	</s>
काॅलेज	College
आॅफ	of
फार्मसी	Pharmacy
</s>	</s>
या	ya
द्वाराची	dwarachi
रचना	rachana
गोमुखी	Gomukhi
बांधणीची	bandhanichi
आहे.	aahe.
</s>	</s>
१९८०:	1980:
आधुनिक	aadhunik
कवी,	kavi,
चतुरस्त्र	chaturastra
लेखक,	lekhak,
पत्रकार	patrakar
आणि	aani
नाटककार	natakakar
अनंत	Anant
कानेटकर	Kanetkar
उर्फ	urf
आत्माराम	Aatmaram
</s>	</s>
त्यांच्याशी	tyanchyashi
घटस्फोट	ghatasfot
घेतल्यावर	ghetalyavar
काशीनाथ	Kashinath
घाणेकर	Ghanekar
यांनी	yanni
अभिनेत्री	abhinetri
सुलोचनाबाईंची	Sulochanabainchi
कन्या	kanya
कांचन	Kanchan
लाटकर	Latkar
यांच्याशी	yanchyashi
लग्न	lagn
केले.	kele.
</s>	</s>
परजा	Paraja
-	-
ही	hi
धुरवा	Dhurawa
जमातीची	jamatichi
पोटजात	potajat
असल्याचे	aslyache
मानले	manale
जाते.	jate.
बस्तर	Bastar
भागातले	bhagatale
रहिवासी.	rahivasi.
</s>	</s>
कोणत्याही	konatyahi
वाटेने	watene
गडाचा	gadacha
सुळकेवजा	sulakewaja
माथा	matha
गाठावे.	gathave.
</s>	</s>
संपूर्ण	sampurn
जगाचा	jagacha
आत्मा	aatma
सूर्य	Sury
आहे.	aahe.
</s>	</s>
किल्ल्याला	killyala
लागूनच	lagunach
एक	ek
जिल्हा	zilha
परिषद	parishad
प्राथमिक	prathamik
शाळा	shala
आहे.	aahe.
</s>	</s>
नर-नारी-राजा	nar-nari-raja
या	ya
सर्वांची	sarvanchi
दुःखे	dhukkhe
नष्ट	nasht
होतील.	hotil.
</s>	</s>
आयताचे	aayatache
क्षेत्रफळ	kshetrafal
व	w
परिमिती	parimiti
काढण्यासाढी	kadhanyasathi
दोन	don
संलग्न	samlagn
बाजू	baju
म्हणजेच	mhanajech
त्याचा	tyacha
पाया	paya
आणि	aani
उंची	unchi
माहीत	mahit
असणे	asane
आवश्यक	aawashyak
आहे.	aahe.
</s>	</s>
या	ya
बियांच्या	biyanchya
गरामध्ये	garamadhye
आठ	aath
ते	te
बहात्तर	bahattar
टक्के	takke
एवढा	evadha
तेलाचा	telacha
अंश	ansh
असतो.	asato.
</s>	</s>
लोकांना	lokanna
उत्साही	utsahi
कसे	kase
करावे	karave
आणि	aani
त्यांच्यातील	tyanchyatil
प्रेरणा	prerana
कशी	kashi
जागवावी	jagawawi
याची	yachi
त्यांना	tyanna
उत्तम	uttam
जाण	jan
होती.	hoti.
</s>	</s>
दत्ताराम	Dattaram
यांच्यासमवेत	yanchyasamavet
काम	kam
करण्याची	karanyachi
संधी	sandhi
मिळाली.	milali.
</s>	</s>
३४	34
आठवडे	aathavade
पूर्ण	purn
होताना	hotana
फुप्फुसांची	fuffusanchi
वाढ	wadh
पूर्ण	purn
झालेली	zaleli
असते.	asate.
</s>	</s>
दीक्षाभूमी	Dikshabhumi
</s>	</s>
सहशिक्षण	sahashikshan
ध्येय	dhyey
साध्य	sadhy
करीत	karat
असल्याचे	asalyache
हे	he
द्योतक	dyotak
आहे.	aahe.
</s>	</s>
शासकीय	shasakiy
अधिकार्‍यांनी	adhikaryanni
त्याबाबत	tyababat
काय	kay
केले	kele
हे	he
मला	mala
(केतकरांना)	(Ketkaranna)
कळू	kalu
शकले	shakale
नाही.	nahi.
</s>	</s>
मी	Mi
नथूराम	Nathuram
गोडसे	Godse
बोलतोय	bolatoy
(मराठी	(Marathi
नाटक),	natak),
लेखक	lekhak
:	:
प्रदीप	Pradeep
दळवी	Dalavi
</s>	</s>
नायक	nayak
आणि	aani
खलनायक	khalanayak
अशा	asha
दोन्ही	donhi
भूमिका	bhoomika
करणार्‍या	karanarya
निळूभाऊंचे	Nilubhaunche
ग्रामीण	gramin
आणि	aani
शहरी	shahari
जीवनाचे	jeevanache
निरीक्षण	nirikshan
अतिशय	atishay
अचूक	achuk
होते .	hote.
</s>	</s>
ही	hi
भारतात	Bharatat
उगवणारी	ugavanari
एक	ek
आयुर्वेदिक	Ayurvedic
औषधी	aushadhi
वनस्पती	vanaspati
आहे.	aae.
</s>	</s>
तत्पूर्वी	tatpurvi
व्हायोलिन	violin
भारतात	Bharatat
आले	aale
होते.	hote.
</s>	</s>
अथवा	athava
पाली	Pali
गाव	gao
ते	te
धोंडसे	Dhondase
गाव	gao
हे	he
अंतरही	antarahi
१२	12
कि.	K.
</s>	</s>
जानेवारी	January
३१	31
रोजी	roji
बचावकार्य	bachaokary
सुरू	suru
असतानाच	asatanach
विंध्यगिरीने	Vindhyagirine
जलसमाधी	jalasamadhi
घेतली.	ghetali.
</s>	</s>
रोज	roj
२४	24
डबे	dabe
असलेली	asaleli
ही	hi
गाडी	gadi
भारतीय	Bharatiy
रेल्वेमधील	railwaymadhil
सर्वाधिक	sarvadhik
लांबीच्या	lambichya
गाड्यांपैकी	gadyanpaiki
एक	ek
आहे.	aahe.
</s>	</s>
गांधीजींनी	Gandhijinni
अशा	asha
प्रत्येक	pratyek
योजनेचा	yojanecha
जोरदार	joradar
विरोध	virodh
केला	kela
जी	ji
भारताची	Bharatachi
फाळणी	falani
दोन	don
राष्ट्रांत	rashtrat
करेल.	karel.
</s>	</s>
बाबासाहेब	Babasaheb
आंबेडकर	Ambedkar
जीवनगौरव	Jeevangaurav
पुरस्कार	Puraskar
हा	ha
आंबेडकराईट	Ambedkaraite
मुव्हमेंट	Movement
आॅफ	of
कल्चर	Culture
अँड	and
लिटरेचरतर्फे	Literaturetarfe
दिला	dila
जातो.	jato.
</s>	</s>
विंध्यगिरी	Vindhyagiri
या	ya
फ्रिगेटला	Frigatela
मुंबई	Mumbai
जवळील	jawalil
संक	sank
रॉक	rock
दीपगृहापासून	deepgruhapasun
नजीक	najeek
धडक	dhadak
दिली.	dili.
</s>	</s>
कवळी	kawali
मुळे	mule
हाडांची	hadanchi
व	w
हिरड्यांची	hiradyanchi
झीज	zeej
मोठ्या	mothya
प्रमाणात	pramanat
कमी	kami
होते.	hote.
</s>	</s>
जन्मतःच	janmatahach
त्यांना	tyanna
एक	ek
दात	dat
होता.	hota.
</s>	</s>
ही	hi
अवस्था	avastha
अभिव्यक्त	abhivyakt
होते.	hote.
</s>	</s>
घसा	ghasa
हा	ha
मानवी	manavi
शरीराचा	shariracha
एक	ek
भाग	bhag
आहे.	aahe.
</s>	</s>
दरवर्षी	daravarshi
अशा	asha
विविध	vividh
कार्यशाळा	karyashala
होतात.	hotat.
</s>	</s>
सोमैया	Somaiya
कॉलेज	college
परिसरामधील	parisaratil
विद्यार्थ्यांच्या	vidyarthyanchya
सोयीसाठी	soyisathi
बांधण्यात	bandhanyat
आले.	aale.
</s>	</s>
हय़ा	hya
शतकात	shatakat
अनेक	anek
विशेष	vishesh
महत्त्वाच्या,	mahattwachya,
अनेक	anek
देशांच्या	deshanchya
इतिहासाला	itihasala
कलाटणी	kalatani
देणार्या	denarya
घटना,	ghatana,
घडामोडी	ghadamodi
घडल्या.	ghadalya.
</s>	</s>
त्याचा	tyacha
सर्वाधिक	sarvadhik
दर	dar
अंदाजे	andaje
१००	100
उल्का	ulka
प्रति	prati
तास	tas
आहे.	aahe.
</s>	</s>
दुसऱ्या	dusarya
हेन्रीची	Henrychi
पस्तीस	pastis
वर्षांची	varshanchi
राजवट	rajawat
तीन	tin
कारणांकरता	karanansathi
लक्षणीय	lakshaneey
मानली	manali
जाते.	jate.
</s>	</s>
तिथेच	tithech
त्यांना	tyanna
श्रीदत्तात्रेयांचे	Shridattatreyache
दर्शन	darshan
झाले	zale
आणि	aani
त्यांनी	tyanni
सदानंदांवर	Sadanandanvar
पूर्ण	poorn
कृपा	krupa
केली	keli
अशी	ashi
भाविकांची	bhavikanchi
श्रद्धा	shraddha
आहे.	aahe
</s>	</s>
रामफळ	Ramafal
हे	he
एक	ek
गोड	god
फळ	fal
असून	asun
उन्हाळ्यात	unhalyat
रामनवमी	Ramnavami
दरम्यान	daramyan
येत	yet
असते.	asate.
</s>	</s>
पेड्रो	Pedro
अल्वारेझ	Alvares
कॅब्रलच्यानंतर	Cabralchyanantar
पोर्तुगालची	Portugalchi
तिसरी	tisari
व्यापारी	vyapari
मोहीम	mohim
जोआस	Joas
द	De
नोव्हा	Nova
याच्या	yachya
नेतृत्वाखाली	netrutwakhali
पोर्तुगालहून	Portugalhun
निघाली.	nighali.
</s>	</s>
औरंगजेबानंतर	Aurangazebanantar
मुघल	Mughal
साम्राज्याला	samrajyala
हिंदुस्तानवर	Hindustanvar
कधीच	kadhich
अधिराज्य	adhirajya
गाजवता	gajavata
आले	aale
नाही.	nahi.
</s>	</s>
त्यांचा	tyancha
कल	kal
अध्यात्म्याकडे	adhyatmakade
झुकला.	zukala.
</s>	</s>
डेटन,	Dayton,
नेव्हाडा	Nevada
</s>	</s>
अभिनंदन	abhinandan
</s>	</s>
नाटक,	natak,
चित्रपट,	chitrapat,
टेलिव्हिजन	television
आदी	aadi
माध्यमांतून	madhyamantun
दिग्दर्शक,	digdarshak,
कला	kala
दिग्दर्शक,	digdarshak,
नेपथ्यकार	nepathyakar
म्हणून	mhanun
एम.	M.
</s>	</s>
नेपाळमध्ये,	Nepalmadhye,
उत्तर	Uttar
कोरियात	Koriat
आणि	aani
उत्तर	Uttar
व्हिएटनाममध्ये	Vietnammadhye
साम्यवादी	samyawadi
सत्ता	satta
आल्या.	aalya.
</s>	</s>
अश्या	asha
प्रकारचे	prakarache
देशाला	deshala
देवत्वाचे	devatwache
रुप	roop
देऊन	deun
त्याचे	tyache
देऊळ	deul
म्हणून	mhanun
बांधले	bandhale
गेलेले	gelele
हे	he
एकमेव	ekamev
मंदिर	mandir
आहे.	aahe.
</s>	</s>
संस्कृत	Sanskrit
कविचंपक	Kavichampak
(विष्णुशास्त्री	(Vishnushastri
चिपळूणकर)	Chipalunkar)
</s>	</s>
ते	te
साने	Sane
गुरुजींचे	Gurujinche
अनुयायी	anuyayi
होते.	hote.
</s>	</s>
आकाशवाणीवरही	Akashvanivarahi
त्यांचे	tyanche
काव्यगायन	kavyagayan
होत	hot
असते.	asate.
</s>	</s>
याच	yach
दिवशी	divashi
कर्नुल	Karnool
येथील	yethil
रझाकारांचा	Razakarancha
प्रतिकारही	pratikarahi
मोडून	modun
काढण्यात	kadhanyat
आला	aala
व	w
वरंगळ	Warangal
आणि	aani
बीदरच्या	Bidarchya
विमानतळांवर	vimantalanvar
पुन्हा	punha
हल्ला	halla
करण्यात	karanyat
आला.	aala.
</s>	</s>
याच	yach
नावाच्या	navachya
तीन	tin
चित्रपटांतील	chitrapatatil
हा	ha
पहिला	pahila
चित्रपट	chitrapat
आहे.	aahe.
</s>	</s>
सॅमसंग	Samsung
एसजीएच-सी५२०	SGH-C520
हा	ha
सॅमसंगच्या	Samsungchya
सी	C
मालिकेमधील	malikemadhil
एक	ek
भ्रमणध्वनी	bhramandhwani
आहे.	aahe.
</s>	</s>
वीण	vin
काळातील	kalatil
नराचे	narache
रंग	rang
जास्त	jast
चमकदार	chamakadar
असतात	asatat
एरवी	eravi
नर-मादी	nar-madi
दिसायला	disayala
सारखेच	sarakhech
असतात.	asatat.
</s>	</s>
वास्तविकपणे	vastavikpane
मेजेलन	Magellan
स्वतः	swatah
ही	hi
जगयात्रा	jagayatra
पूर्ण	poorn
करू	karu
शकला	shakala
नाही	nahi
कारण	karan
२७	27
एप्रिल	April
१५२१	1521
रोजी	roji
फिलिपाईन्समधील	Philippinesmadhil
सेबू	Sebu
ह्या	hya
प्रांतात	prantat
घडलेल्या	ghadalelya
एका	eka
चकमकीत	chakamakit
तो	to
ठार	thar
झाला.	zala.
</s>	</s>
पठाण,	Pathan,
निर्मलकुमार	Nirmalkumar
फडकुले	Fadkule
आणि	aani
सुशीलकुमार	Sushilkumar
शिंदे	Shinde
हे	he
त्यांचे	tyanche
विद्यार्थी.	vidyarthi.
</s>	</s>
याच	yach
पन्हाळ	Panhala
गडाला	gadala
सिद्दी	Siddi
जोहारने	Joharne
वेढा	vedha
दिला,	dila,
तेव्हा	tevha
छत्रपती	Chhatrapati
शिवाजीराजे	Shivajiraje
यांनी	yanni
मोठ्या	mothya
शिताफिने	shitafine
स्वता:ची	swatahachi
सुटका	sutaka
करुन	karun
घेऊन	gheun
विशालगडाकडे	Vishalgadakade
कूच	kuch
केली.	keli.
</s>	</s>
हे	he
गाव	gao
राज्यमार्ग	rajyamarg
क्र.	kr.
६७	67
वर	var
आहे.	aahe.
</s>	</s>
कांचनगडची	Kanchangadchi
मोहना	Mohana
(खलनायक	(Khalanayak
पिलाजीराव)	Pilajirao)
</s>	</s>
यादों	Yaadon
की	ki
बारात	baraat
हा	ha
१९७३	1973
साली	Sali
प्रदर्शित	pradarshit
झालेला	zalela
हिंदी	Hindi
चित्रपट	chitrapat
आहे.	aahe.
</s>	</s>
येथील	yethil
अमृतसर	Amritsar
रेल्वे	railway
स्थानकासाठी	sthanakasathi
मुंबई,	Mumbai,
दिल्ली	Delhi
व	w
इतर	itar
अनेक	anek
प्रमुख	pramukh
शहरांमधून	shaharanmadhun
थेट	thet
प्रवासी	pravasi
रेल्वेगाड्या	railwaygadya
सुटतात.	sutatat.
</s>	</s>
अरे	Are
संसार	sansar
संसार	sansar
</s>	</s>
लेखिका	lekhika
नमूद	namud
करतात	karatat
की,	ki,
वसाहतकालीन	vasahatkalin
भारताच्या	Bharatachya
उत्तर	uttar
कालखंडामध्ये	kalkhandamadhye
मुस्लिम	Muslim
स्त्रियांची	striyanchi
ही	hi
अदृश्यता	adrushyata
आदर्श	aadarsh
नागरिकत्वाची	nagarikatwachi
भावना	bhawana
निर्माण	nirman
करण्यास	karanyas
कारणीभूत	karanibhut
ठरली.	tharali.
</s>	</s>
हेलिकॉप्टर	helicopter
कंपन्या:	kampanya:
</s>	</s>
कार्मेन	Carmen
झपाटाचे	Zapatache
वडील	wadil
हुलियो	Hulio
झपाटा	Zapata
हे	he
मेक्सिकोतून	Mexicoyun
तर	tar
आई	aai
रमोना	Ramona
रोका	Roca
ही	hi
आर्जेन्टिनातून	Argentinatun
स्थलांतरित	sthalantarit
झालेले	zalele
अमेरिकन	American
नागरिक	nagarik
होते.	hote.
</s>	</s>
सोवियेत	Soviet
संघात	sanghat
पंच	panch
वार्षिक	varshik
योजना	yojana
राबवून	rabavun
त्या	tya
यशस्वी	yashaswi
करण्याची	karanyachi
जबाबदारीही	jababadarihi
राष्ट्राध्यक्ष	rashtradhyaksh
म्हणून	mhanun
स्टालिन	Stalin
यांचीच	yanchich
होती.	hoti.
</s>	</s>
मृच्छकटिक	Mruchhakatik
आणि	aani
पिया	Piya
बावरी	bawari
ही	hi
मराठी	Marathi
नाटके	natake
भासाच्या	Bhasachya
नाटकांवर	natakanvar
आधारित	aadharit
आहेत.	aahet.
</s>	</s>
पण	pan
तोपर्यंत	toparyant
सगळीकडचे	sagalikadache
प्रवेश	pravesh
बंद	band
झाल्यामुळे	zalyamule
नाइलाजाने	nailajane
त्यांनी	tyanni
मुंबईच्या	Mumbaichya
गव्हर्नमेंट	Government
लॉ	Law
कॉलेजमध्ये	Collegemadhye
प्रवेश	pravesh
घेतला.	ghetala.
</s>	</s>
"आठवड्याचा	"athavadyacha
सातवा	satava
दिवस	diwas
(शनिवार	(Shaniwar
-	-
सब्बाथचा	Sabbathacha
दिवस)	diwas)
हा	ha
पवित्र	pavitra
दिवस	diwas
(Holy	(Holy
Day)	Day)
असून	asun
पापप्रक्षालनाचा	papaprakshalanacha
(sanctification)	(sanctification)
दिवस	diwas
आहे.	aahe.
ईश्वराने	Ishwarane
केलेले	kelele
सृष्टीचे	srushtiche
निर्माण	nirman
व	w
तिचे	tiche
रक्षण	rakshan
यांचे	yanche
या	ya
दिवशी	diwashi
स्मरण	smaran
करून	karun
उरलेल्या	uralelya
आयुष्यात	aayushyat
शांतता	shantata
व	w
सुबत्ता	subatta
लाभावी	labhavi
म्हणून	mhanun
प्रार्थना	prarthana
करावी."	karavi."
</s>	</s>
आवंदू	Aavandu
तुडये,उचगांव,कोनेवाडी,बसुर्त्याच्या	Tudaye,Uchagaon,Konewadi,Basurtyachya
लक्षीम्या	laximya
व्हण्णार	vhannar
हाताय...	hatay…
</s>	</s>
पायगुण	Payagun
</s>	</s>
वैद्यकीय	Vaidyakiy
महाविद्यालय,	Mahavidyalay,
तिरुपती	Tirupati
</s>	</s>
महाराष्ट्रात	Maharashtrat
पीक	pik
आल्यावर	aalyavar
खंडोबाला	Khandobala
वांग्याचे	vyangyache
भरीत	bharit
अर्पण	arpan
करण्याची	karanyachi
प्राचीन	prachin
परंपरा	parampara
आढळते.	aadhalate.
</s>	</s>
त्यातील	tyatil
अनेकांना	anekanna
विविध	vividh
पारितोषिके	paritoshike
आणि	aani
राष्ट्रीय	rashtriy
शिष्यवृत्त्या	shishyavruttya
मिळाल्या	milalya
आहेत.	aahet.
</s>	</s>
लिनक्स	Linux
गाभ्याच्या	gabhyachya
विकासासाठीच्या	vokasasathichya
वाटचालीची	watachalichi
धोरणात्मक	dhoranatmak
दिशा	disha
ठरवण्यामध्ये	tharavanyamadhye
आजही	aajahi
त्यांचा	tyancha
महत्त्वाचा	mahattwacha
सहभाग	sahabhag
असतो.	asato.
</s>	</s>
म्हणून	mhanun
या	ya
गावाला	gavala
देववृक्ष	Devvruksha
असे	ase
म्हणत	mhanat
असत.	asat.
</s>	</s>
'ब्रॅन्ड' ,	Brand',
'द	'The
एनिमी	Enemy
ऑफ	of
द	the
पीपल',	People',
'अ	'A
डॉल्स	Doll's
हाउस' ,	House',
'घोस्ट्‌स'	'Ghosts'
आणि	aani
'द	'The
वाइल्ड	Wild
डक'	Duck'
यासारख्या	yasarkhya
कलाकृती	kalakruti
इब्सेनच्या	Ibsen chya
नावावर	navavar
जमा	jama
आहेत.	aahet.
</s>	</s>
श्री	Shri
माळी	Mali
वैभव	Vaibhav
</s>	</s>
हे	he
तेल	tel
निर्यात	niryat
करणारा	karanara
भारत	Bharat
हा	ha
प्रमुख	pramukh
देश	desh
आहे.	aahe.
</s>	</s>
हिंदू	Hindu
देव	dev
हे	he
शाश्वत,	shashwat,
अविनाशी	avinashi
आणि	aani
अमर	amar
आहेत.	aahet.
</s>	</s>
बुराई	Burai
नदी	nadi
नंदुरबार	Nandurbar
जिल्ह्याच्या	zilhyachya
नवापूर	Navapur
आणि	aani
धुळे	Dhule
जिल्ह्याच्या	zilhyachya
साक्री	Sakri
व	w
शिंदखेडा	Shindakheda
या	ya
तालुक्यांतून	talikyatun
वाहते.	wahate.
</s>	</s>
एका	eka
बँकेचे	bankeche
काही	kahi
खातेदार	khatedar
इतर	itar
बँकातील	bankatil
लोकांना	lokanna
पैसे	paise
देऊ	deu
शकतात.	shakatat.
</s>	</s>
राज्य	rajya
आणि	and
केंद्रशासित	kendrashasit
प्रदेश	pradesh
जीएसटी	GST
कायदा	kayada
जम्मू	Jammu
आणि	aani
काश्मीर	Kashmir
वगळता	vagalata
भारताच्या	Bharatachya
सर्व	sarv
राज्ये	rajye
आणि	aani
केंद्रशासित	kendrashasit
प्रदेशांद्वारे	pradeshandware
पारित	parit
करण्यात	karanyat
आले	aale
होते(?),	hote(?),
जे	je
१	1
जुलै	July
२०१७	2017
पासून	pasun
करसवलत	karasawalat
सुलभ	sulabh
करण्यासाठी	karanyasathi
मार्ग	marg
तयार	tayar
करतात(?)	karatat(?)
</s>	</s>
२००९च्या	2009chya
महाराष्ट्र	Maharashtra
विधानसभेत	Vidhansabhet
बीड	Bid
जिल्ह्यातील	zilhyatil
परळी	Parali
विधानसभा	Vidhansabha
मतदारसंघाचे	matadarsanghache
त्या	tya
आमदार	aamdar
म्हणून	mhanun
प्रतिनिधित्व	pratinidhitwa
करतात.	karatat.
</s>	</s>
निवासस्थाने	niwasasthane
</s>	</s>
त्यांनी	tyanni
टेल्कोमध्ये	Telcomadhye
१०	10
वर्षे	varshe
अभियंता	abhiyanta
म्हणून	mhanun
काम	kam
करीत	karit
असताना	asatana
इंडियन	Indian
एक्सप्रेस,	Express,
महाराष्ट्र	Maharashtra
हेराल्ड,	Herald,
मनी	Money
ऑपॉर्च्युनिटीज,	opportunities,
श्री	Shri
प्रॉफिट,	profit,
इंडियन	Indian
पोस्ट	Post
आणि	aani
दइंडिपेन्डन्ट	The Independent
आदी	aadi
नियतकालिकांमध्ये	niyatkalikanmadhye
लेखन	lekhan
केले.	kele.
</s>	</s>
त्यासाठी	tyasathi
नदीकिनारी	nadikinari
आल्यावर	aalyavar
त्यांना	tyanna
एक	ek
तेजःपुंज	tejapunj
यती	Yati
(समर्थ	(Samarth
रामदास)	Ramdas)
नदीमध्ये	nadimadhye
डोळे	dole
मिटून	mitun
जप	jap
करत	karat
असताना	asatana
दिसले.	disale.
</s>	</s>
चे	che
राजकीय	rajakiy
सामर्थ्य	samarthya
सर्वाधिक	sarvadhik
आहे.	aahe.
</s>	</s>
या	ya
अर्थाने	arthane
वापरला	vaparala
जातो.	jato.
</s>	</s>
नमकीन	namakin
</s>	</s>
हे	he
विमानतळ	vimantal
शिमला	Shimla
पासून	pasun
२२	22
किलोमीटरच्या	Kilometerchya
अंतरावर	antaravar
बनवले	banavale
गेलेले	gelele
आहे.	aahe.
</s>	</s>
आणि	aani
विज्ञानावर	vidnyanavar
आधारलेले	aadharalele
तत्वज्ञान	tattwadnyan
दिले.	dile.
</s>	</s>
देवरुख	Devrukh
हे	he
संगमेश्वर	Sangameshwar
तालुक्याचे	talukyache
मुख्यालय	mukhyalay
आहे.	aahe.
</s>	</s>
अनुक्रम	anukram
लावणे,	lavane,
शोधयंत्राचा	shodhayantracha
सुलभ	sulabh
वापर	vapar
करणे,	karane,
परस्परसंदर्भ	parasparsandarbh
देणे	dene
अशा	asha
गोष्टी	goshti
सुकर	sukar
झाल्या	zalya
आहेत.	aahet.
</s>	</s>
ऋतुचक्र	Rutuchakra
हा	ha
दुर्गा	Durga
भागवत	Bhagvat
लिखित	likhit
ललित	lalit
लेखसंग्रह	lekhsangrah
आहे.	aahe.
</s>	</s>
पाकिस्तान,बांगला	Pakistan, Bangla
देश,उत्तर	Desh, Uttar
प्रदेश,नेपाळ,गुजरात,ओरिसा,आसाम	pradesh, Nepal, Gujarat, Orissa, Asam
आणि	aani
मणिपूर	Manipur
रशियातील	Russiatil
व्होल्गा	Volga
